FineTune_last_one	FineTune_last_two	FineTune_last_three
0.73968476	0.7071512	0.7983858
0.71094	0.34172705	0.8808737
0.088320196	0.33346793	0.04456806
0.750745	0.5744444	0.93594277
0.91041267	0.94830394	0.9317306
0.32476857	0.55927867	0.46123976
0.9659255	0.9271306	0.94532156
0.38636237	0.78618824	0.44613615
0.2371715	0.33487594	0.25066188
0.0184097	0.17692202	0.05003962
0.28221393	0.23727992	0.26397294
0.72811663	0.26316547	0.6367737
0.490549	0.22881013	0.43585804
0.40864664	0.3468958	0.18280125
0.3443725	0.23466825	0.2244604
0.75967336	0.77202606	0.9672696
0.3192848	0.20791978	0.22868696
0.76139283	0.24153528	0.3931206
0.057811856	0.11405897	0.024270207
0.66323423	0.5758488	0.6730879
0.99663365	0.9181901	0.9920043
0.908062	0.9707464	0.9355753
0.44829443	0.5995219	0.6779287
0.98263574	0.9247855	0.993221
0.61520857	0.7973088	0.70748025
0.9844303	0.97114223	0.9827851
0.87021756	0.9280713	0.85413766
0.25669897	0.41935793	0.42103007
0.5233137	0.9423156	0.69334483
0.8855	0.8097923	0.92396444
0.9412608	0.931715	0.9694375
0.7981911	0.6421407	0.6276092
0.045309126	0.29787743	0.09892288
0.9665806	0.97980165	0.9494456
0.54707867	0.11684507	0.1240972
0.51105046	0.5292482	0.18812409
0.99729836	0.99996096	0.9990814
0.34118092	0.30431208	0.13646477
0.02673462	0.27238047	0.026724458
0.004397154	0.13228163	0.0031616688
0.92896557	0.99586093	0.8470583
0.19995973	0.99351954	0.64682746
0.43006822	0.3638297	0.4504057
0.35758948	0.2673807	0.10454118
0.29196715	0.04667127	0.2709652
0.57315964	0.254911	0.4542841
0.0071718395	0.052651674	0.0024092793
0.8687042	0.79708356	0.92787755
0.7357067	0.673308	0.84497297
0.78878075	0.08329892	0.55695856
0.81454504	0.7124941	0.9116603
0.9702444	0.916209	0.9303996
0.27177763	0.53402936	0.57643765
0.14853236	0.24199408	0.72191656
0.3523056	0.31577146	0.5056477
0.090881914	0.36844578	0.13566789
0.60512525	0.47946477	0.8375894
0.018422782	0.16401729	0.01456061
0.029169917	0.4258771	0.07261759
0.54177517	0.57199633	0.85901654
0.8550565	0.6840527	0.8156225
0.7045676	0.41002533	0.49074244
0.16493458	0.23910934	0.15241817
0.7425097	0.4212301	0.82505655
0.91709495	0.40043843	0.93520796
0.51028997	0.16297758	0.32788146
0.18530583	0.09208104	0.26019
0.29752725	0.17485383	0.42410663
0.79758394	0.26018733	0.59018624
0.98932564	0.67935765	0.8865551
0.84112585	0.8517041	0.807107
0.2795699	0.066415966	0.46096262
0.89839566	0.4670967	0.9198736
0.998403	0.9648604	0.9990234
0.005805135	0.20940143	0.03173825
0.99850357	0.9844436	0.9987034
0.99399114	0.8416227	0.99495816
0.9729891	0.8937508	0.96323895
0.9982757	0.9919783	0.9990196
0.08525139	0.2598487	0.11587009
0.08212614	0.5452987	0.32166517
0.37849343	0.227462	0.49989596
0.98319983	0.9764759	0.9643723
0.36119127	0.22349542	0.16450563
0.016965568	0.11231336	0.05053383
0.8928299	0.57959783	0.8701798
0.46124154	0.25532645	0.6763145
0.8543285	0.9249343	0.852245
0.83125085	0.9782998	0.8347863
0.8333524	0.45309147	0.7804464
0.01295203	0.0861021	0.004745394
0.9325918	0.3472553	0.93409866
0.90860915	0.8060549	0.9529301
0.9894796	0.8062706	0.9978183
0.97406065	0.8475112	0.9013789
0.41261637	0.1242125	0.18320823
0.9157672	0.47763428	0.9280853
0.914653	0.91335607	0.95216954
0.81793	0.7294793	0.90913814
0.7177691	0.57343704	0.9424473
0.89760745	0.61506224	0.8631183
0.75483024	0.6095812	0.87464094
0.8467624	0.85968006	0.8431832
0.33028793	0.3385849	0.19357526
0.81148577	0.43759903	0.84783727
0.89636123	0.36015233	0.7033363
0.33234763	0.1541757	0.30790052
0.41529965	0.26895702	0.10041347
0.8272935	0.83107096	0.9513327
0.8225315	0.84410167	0.81266093
0.9041581	0.8364084	0.7861301
0.8920971	0.9300369	0.9476191
0.7830113	0.87148714	0.83270854
0.73489344	0.95113206	0.9347524
0.7839105	0.82675815	0.8649105
0.84385455	0.9078704	0.9045926
0.91100085	0.8845339	0.9594927
0.12511125	0.15184844	0.029334307
0.9147911	0.8901167	0.9423404
0.9617143	0.8589001	0.9028506
0.97846293	0.73141634	0.9031744
0.6505573	0.8028729	0.64526856
0.96962076	0.8903468	0.93373287
0.8651638	0.40583357	0.36196592
0.9596764	0.96365064	0.8841382
0.105011225	0.3507529	0.14574888
0.120726466	0.91724074	0.1675216
0.990217	0.9849769	0.9797947
0.99069643	0.9962902	0.84020185
0.1707891	0.4949424	0.27663064
0.10922763	0.20301202	0.026018709
0.9727667	0.7793724	0.98238885
0.9973625	0.9763788	0.9920799
0.9883824	0.99895954	0.9844115
0.09584612	0.6748909	0.20024595
0.8949783	0.9577285	0.9265845
0.008589089	0.35138988	0.0051042736
0.7002729	0.70973396	0.7728853
0.10174012	0.50847566	0.13601735
0.98657346	0.99113256	0.9776008
0.2844132	0.75640976	0.566713
0.63737756	0.74451697	0.8072959
0.64268714	0.6934825	0.908107
0.91962445	0.86835057	0.9831691
0.6650095	0.7441032	0.91022724
0.15409887	0.76777005	0.55852574
0.8588309	0.93425524	0.91978216
0.7852105	0.81461495	0.83583355
0.93752515	0.9181212	0.95370775
0.006807953	0.033397853	0.0059610605
0.5221814	0.5258767	0.094919086
0.3749066	0.7494248	0.69814575
0.9250306	0.8953717	0.94941324
0.65471184	0.6788848	0.64729214
